categorie,texte,phone,sound
mois,janvier,ʒɑ̃vje,cal001
mois,février,fevʁije,cal002
mois,mars,maʁs,cal003
mois,avril,avʁil,cal004
mois,mai,mɛ,cal005
mois,juin,ʒɥɛ̃,cal006
mois,juillet,ʒɥijɛ,cal007
mois,août,ut,cal008
mois,septembre,sɛptɑ̃bʁ,cal009
mois,octobre,ɔktɔbʁ,cal010
mois,novembre,novɑ̃bʁ,cal011
mois,décembre,desɑ̃bʁ,cal012
jour,lundi,lœ̃di,cal013
jour,mardi,maʁdi,cal014
jour,mercredi,mɛʁkʁədi,cal015
jour,jeudi,ʒødi,cal016
jour,vendredi,vɑ̃dʁədi,cal017
jour,samedi,samədi,cal018
jour,dimanche,dimɑ̃ʃ,cal019
