numeraux,unites
zero,[0]
un,[1]
deux,[2]
trois,[3]
quatre,[4]
cinq,[5]
six,[6]
sept,[7]
huit,[8]
neuf,[9]
dix,[10]
onze,[11]
douze,[12]
treize,[13]
quatorze,[14]
quinze,[15]
seize,[16]
vingt,[20]
trente,[30]
quarante,[40]
cinquante,[50]
soixante,[60]
soixante-dix,[70]
quatre-vingt,[80]
quatre-vingt-dix,[90]
cent,[100]
mille,[1000]
vingts,[20]
cents,[100]
million,[million]
milliard,[milliard]
billion,[billion]
millions,[millions]
milliards,[milliards]
billions,[billions]
numéro,[numero]
