cardinal,texte,phone,sound
un,unième,ynjɛm,ord001
deux,deuxième,døzjɛm,ord002
trois,troisième,tʁwazjɛm,ord003
quatre,quatrième,katʁjɛm,ord004
cinq,cinquième,sɛ̃kjɛm,ord005
six,sixième,sizjɛm,ord006
sept,septième,sɛtjɛm,ord007
huit,huitième,ɥitjɛm,ord008
neuf,neuvième,nœvjɛm,ord009
dix,dixième,dizjɛm,ord010
onze,onzième,ɔ̃zjɛm,ord011
douze,douzième,duzjɛm,ord012
treize,treizième,tʁɛzjɛm,ord013
quatorze,quatorzième,katɔʁzjɛm,ord014
quinze,quinzième,kɛ̃zjɛm,ord015
seize,seizième,sɛzjɛm,ord016
vingt,vingtième,vɛ̃tjɛm,ord017
trente,trentième,tʁɑ̃tjɛm,ord018
quarante,quarantième,kaʁɑ̃tjɛm,ord019
cinquante,cinquantième,sɛ̃kɑ̃tjɛm,ord020
soixante,soixantième,swasɑ̃tjɛm,ord021
cent,centième,sɑ̃tjɛm,ord022
mille,millième,miljɛm,ord023
million,millionième,miljɔnjɛm,ord024
milliard,milliardième,miljaʁdjɛm,ord025
billion,billionième,biljɔnjɛm,ord026
trillion,trillionième,tʁiljɔnjɛm,ord027
,premier,pʁømje,ord032
,première,pʁømjɛʁ,ord033
,second,səɡɔ̃,ord034
,seconde,səɡɔ̃d,ord035
et un,et unième,e ynjɛm,ord031
,demi,dəmi,ord028
,demis,dəmi,ord028
,tiers,tjɛʁ,ord029
,quart,kaʁ,ord030
,quarts,kaʁ,ord030
