symbole,categorie,texte,phone,sound
€,currency,euro,øʁo,sym001
$,currency,dollar,dolaʁ,sym002
£,currency,livre,livʁ,sym003
¥,currency,yen,jɛn,sym004
₩,currency,won,wɔn,sym005
₹,currency,roupie,ʁupi,sym006
₽,currency,rouble,ʁubl,sym007
₺,currency,livre turque,livʁ tyʁk,sym008
₫,currency,dong,dɔ̃ɡ,sym009
+,math,plus,plys,sym095
-,math,moins,mwɛ̃,sym094
−,math,moins,mwɛ̃,sym094
±,math,plus ou moins,plyz u mwɛ̃,sym010
=,math,égal,eɡal,sym011
≠,math,différent de,difeʁɑ̃ də,sym012
<,math,inférieur à,ɛ̃feʁjœʁ a,sym013
>,math,supérieur à,sypeʁjœʁ a,sym014
≤,math,inférieur ou égal à,ɛ̃feʁjœʁ u eɡal a,sym015
≥,math,supérieur ou égal à,sypeʁjœʁ u eɡal a,sym016
×,math,fois,fwa,sym017
*,math,fois,fwa,sym017
÷,math,divisé par,divize paʁ,sym018
/,math,sur,syʁ,sym019
^,math,puissance,pɥisɑ̃s,sym020
√,math,racine carrée,ʁasin kaʁe,sym021
∞,math,infini,ɛ̃fini,sym022
==,comparison,égal à,eɡal a,sym023
!=,comparison,différent de,difeʁɑ̃ də,sym012
<=,comparison,inférieur ou égal à,ɛ̃feʁjœʁ u eɡal a,sym015
>=,comparison,supérieur ou égal à,sypeʁjœʁ u eɡal a,sym016
<>,comparison,différent de,difeʁɑ̃ də,sym012
≈,comparison,approximativement égal à,apʁɔksimativmɑ̃ eɡal a,sym024
≃,comparison,quasiment égal à,kazimɑ̃ eɡal a,sym025
≡,comparison,identique à,idɑ̃tik a,sym026
%,percent,pour cent,puʁ sɑ̃,sym027
‰,percent,pour mille,puʁ mil,sym028
m,units,mètre,mɛtʁ,sym029
cm,units,centimètre,sɑ̃timɛtʁ,sym030
mm,units,millimètre,milimɛtʁ,sym031
km,units,kilomètre,kilomɛtʁ,sym032
g,units,gramme,ɡʁam,sym033
kg,units,kilogramme,kiloɡʁam,sym034
mg,units,milligramme,miliɡʁam,sym035
L,units,litre,litʁ,sym036
ml,units,millilitre,mililitʁ,sym037
s,units,seconde,səɡɔ̃d,sym038
min,units,minute,minyt,sym039
h,units,heure,œʁ,sym040
°,units,degré,dəɡʁe,sym041
°C,units,degré Celsius,dəɡʁe sɛlsjys,sym042
°F,units,degré Fahrenheit,dəɡʁe faʁɛnajt,sym043
∑,math_extended,somme,sɔm,sym044
∏,math_extended,produit,pʁodɥi,sym045
∫,math_extended,intégrale,ɛ̃teɡʁal,sym046
∂,math_extended,dérivée partielle,deʁive paʁsjɛl,sym047
∇,math_extended,nabla,nabla,sym048
∈,math_extended,appartient à,apaʁtjɛ̃ a,sym049
∉,math_extended,n'appartient pas à,napaʁtjɛ̃ pa a,sym050
→,arrows,donne,dɔn,sym051
←,arrows,reçoit,ʁəswa,sym052
